[body],# persuasive sentences ,total # sentences,num-logos,num-ethos,num-pathos,upvote ratio,time stamp,poster id,,,,,,,,,,,,,,,,,,,,,,,,,
"""Sodium, atomic number 11, was first isolated by Humphry Davy in 1807. A chemical component of salt, he named it Na in honor of the saltiest region on earth, North America.""",1,2,5,2,1,null,null,null,,,,,,,,,,,,,,,,,,,,,,,,,
"""High in orbit, the Gitraktmaet motherships descend upon the Earth. They prepare to enslave the world and mine it for all its salt, but the scanners detect an abnormally high concentration inside a tiny shack in Greece. The invasion won't be necessary. ""Lock onto him with the RNG disruptor,"" says the captain, greedily. \""Soon we shall have all the salt we need.\""""",4,5,1,5,8,null,null,null,,,,,,,,,,,,,,,,,,,,,,,,,
"""Europe was founded in 1848 by Walker Texas Ranger when he rode a horse across the Atlantic. He called it \""Eastern USA\"" which was eventually abbreviated as just \""EU\"".",1,2,8,3,0,null,null,null,,,,,,,,,,,,,,,,,,,,,,,,,
"""Hey guys. This is my very first copy pasta and I am really nervous about pasting it. If it does not get copy pasta then I will have much embarrassment. I've have thinking about it for a couple of nights now, but here it is!.""",2,4,1,2,7,null,null,null,,,,,,,,,,,,,,,,,,,,,,,,,
"""The FitnessGram Pacer Test is a multistage aerobic capacity test that progressively gets more difficult as it continues. The 20 meter pacer test will begin in 30 seconds. Line up at the start. The running speed starts slowly, but gets faster each minute after you hear this signal. [beep] A single lap should be completed each time you hear this sound. [ding] Remember to run in a straight line, and run as long as possible. The second time you fail to complete a lap before the sound, your test is over. The test will begin on the word start. On your mark, get ready, start.""",6,9,3,8,7,null,null,null,,,,,,,,,,,,,,,,,,,,,,,,,
"""Hi Imaqtpie. I noticed that in your games you utilize Kog’Maws passive A LOT, but when I watch LCS players I see them go an ENTIRE teamfight without using their passive even ONCE. Are they playing the champion to its full potential or are you?""",2,3,3,2,1,null,null,null,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,[pathos],,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[job #],[number_of_percent],[number_of_studies],,,,[number_of_conclusion],[number_of_therefore],[number_of_science],[number_of_math],[number_of_study],[number_of_evidence],[number_of_fact],[number_of_stat],[number_of_data],[number_of_dr.],[number_of_phd],[number_of_experice],[number_of_expert],[number_of_field],[number_of_degree],[number_of_credible],[number_of_should],[number_of_want],[number_of_need],[number_of_love],[number_of_hate],[number_of_heart],[number_of_die],[number_of_god],[number_of_pity],[number_of_emotion],[number_of_fear],[number_of_wish]
