body,containsPersuasion
Why should we give shots to perfectly healthy people who have had there shots when we could send them to other countries where it's hard to get the first two shots,1
"You may or may not be right, but your reasoning is completely beside the point. You should get a booster if and only if it is recommended by the public health professionals. It's their job to figure out what the best way to use the resources at their disposal is. You shouldn't try to figure out for yourself whether it's reasonable to use the resources that way, because you're not going to do a better job than they are when you don't have access to as much information, and you're not spending as much time on it.",1
Why should my tax dollars go for another kid's education? He has his own parents.,1
"As another person has pointed out, it is about prioritisation. In normal circumstances, hospitals don't generally have to prioritise some people over others, but Covid is a special circumstance where hospitals in some areas are often running at full capacities. In this case, people who made the effort to avoid the severe effects of covid should be prioritised. Also, may I point out that maintaining a healthy lifestyle or battling a smoking addiction is much harder than getting a shot or two.",1
"Most tables have four legs. However, some tables can have less than four.",0
This is a dangerous road to go down.,1
Glass water bottles are more efficient than metal ones. Glass is just a lot better at keeping the heat in.,1
"Every night on my walk home from work, I listen to true crime podcasts. Even though my favorite podcast already released their episode for this week, the app said there was a new one. Excited, I hit PLAY.",0
"I haven't bailed on writing. Look, I'm generating a random paragraph at this very moment in an attempt to get my writing back on track. I am making an effort. I will start writing consistently again!",0
They say you only come to peace with yourself when you know yourself better than those around you. Derick knew nothing about this. He thought he had found peace but this was an illusion as he was about to find out with an unexpected occurrence that he actually knew nothing about himself.,0
"Eating raw fish didn't sound like a good idea. It's a delicacy in Japan, didn't seem to make it any more appetizing. Raw fish is raw fish, delicacy or not.",1
"There was little doubt that the bridge was unsafe. All one had to do was look at it to know that with certainty. Yet Bob didn't see another option. He may have been able to work one out if he had a bit of time to think things through, but time was something he didn't have. A choice needed to be made, and it needed to be made quickly.",0
"Boiled or microwaved veggies absolutely suck and are the laziest way to cook them. If you Sautéed those bad boys in butter, roasted or grilled them with some actual seasoning, then your kids would have a grand old time eating them and you wouldn't have to threaten them with no play time while they sit there and throw up in their mouth. Stop torturing your kids and learn to cook.",1
Sea horses are the worst type of fish. They evolve tails to make up for the fact they dont have fins. Such a stupid species,1
"Graveyards are a waste of space and people should be remembered with stories, paintings, photos etc. of when they were alive and happy - not where their rotting corpse lies.The space taken up by graveyards around the world could be used instead amazing parks, public spaces etc. for new memories to be made by new generations. Cremate them all and be done with it.",1
"It's a well known fact that there are over 400,000 children in foster care, and in 2017 alone over 100,000 infants under 3 entered the system. I think it's completely entitled and self-absorbed to think that somehow your miracle baby is worth more or deserves more love than any one of those infants.",1
